# Result of 'intser'
# Date/time = Tue Jan 28 13:39:26 CET 2025
# Data set list (full path) = /var/folders/h2/fptkkjmd6sd3pk78km2njjrm0000gn/T/topspin-dataset-list-17435026494311446944.txt
# Region to calibrate = 5
# Value of region to calibrate = 1.0
# Global scaling = no

# --- Integral info --- 
# A 1.0 #regions in PPM
# # low field   high field  bias        slope
#   8.205  8.184  -0.0  -0.0  # for region 1
#   8.146  8.1  -0.0  -0.0  # for region 2
#   7.967  7.924  -0.0  -0.0  # for region 3
#   7.9  7.867  -0.0  -0.0  # for region 4
#   1.947  1.894  -0.0  -0.0  # for region 5
#   0.253  -0.132  -0.0  -0.0  # for region 6

# Spectrum#; Integral 0; Integral 1; Integral 2; Integral 3; Integral 4; Integral 5;
31;0.001486265156778999;0.06696143311791175;0.06928028139550203;0.04801601287388592;0.006956116596218771;1.0;
32;7.082219804953812E-4;0.03571966940304171;0.036419633096494694;0.024387186995824605;0.011855879048507496;1.0;
33;0.0012456403751432623;0.05544633910144297;0.05710395902377156;0.037840287721277885;0.010914598576024385;1.0;
34;8.595664751834862E-4;0.023794948232389406;0.024512525180700583;0.029855252059042565;0.005008796672844021;1.0;
35;0.0012499657194550843;0.037761288215248046;0.039029462738491956;0.04896950865909022;0.004690959996712309;1.0;
36;0.001584928662276706;0.07102204539264895;0.07335569483899866;0.05790653155181729;0.00764502607173006;1.0;
37;0.0021314211473049023;0.1124351975519922;0.11578390792897195;0.0875163863146147;0.007253069829957007;1.0;
38;0.0015416137211678735;0.06505127732716016;0.06727543176230374;0.048457398498758096;0.0103412843918003;1.0;
39;0.0018214138134730377;0.10221744178243805;0.1055835842785505;0.07423612685673574;0.010367207244549691;1.0;
40;0.0012593249261509923;0.03212886775813746;0.032834465128149255;0.05502545378333226;0.004907707835370814;1.0;
41;0.001891396285128868;0.056706247467917095;0.05821028324077736;0.0969685371331064;0.004688276342416498;1.0;
42;0.001634203428883253;0.08790023178859019;0.09103194048222762;0.08189780331924808;3.822507303977478E-4;1.0;
43;0.0025601609688081254;0.14728699867880513;0.15149867597432537;0.13020945908858203;0.007626210335765441;1.0;
44;0.001600481059578518;0.09358737305423377;0.09592132310447007;0.07532436837243303;0.0013016422629735524;1.0;
45;0.002069581788138014;0.14196609089455303;0.1464108460188237;0.11570111285871183;0.0033528371144516092;1.0;
46;0.0017658574699943937;0.04129298552094626;0.04254251851396541;0.091297025252626;0.003551392624918223;1.0;
47;0.001603124225411461;0.06520534493387915;0.06672524898639896;0.15309225226294484;0.004859393803597805;1.0;
48;0.0015890697339459542;0.10091453162001361;0.10449572038692191;0.10585426684452656;7.937404121673411E-4;1.0;
49;0.0017857057347716136;0.16455449605911357;0.16996367241324484;0.16526310100205577;0.0010414822260402777;1.0;
50;0.0015257266521967417;0.10948101359728048;0.1125904464615191;0.09763819382575642;4.818380127082535E-4;1.0;
51;0.0017556403959516358;0.16483150313531647;0.16977828636501813;0.1466618183325254;8.099872464360685E-4;1.0;
52;0.0014694395777897192;0.04781951241989185;0.04926298230890817;0.12603971190255842;0.003053510735375819;1.0;
53;0.0018559081373254805;0.07092516438412992;0.0724512087459306;0.20365324825792172;7.332609165605421E-4;1.0;
54;0.0013311671978574987;0.1355609281392667;0.14123236204288137;0.15264731543147952;2.761031684350935E-4;1.0;
55;0.0012485951627402032;0.19007231273835767;0.19606543191810413;0.21258860709271335;-5.9123884345426136E-5;1.0;
56;0.0014992417346362111;0.13471536326764716;0.13873633712969752;0.13157356203936726;8.133118066441657E-4;1.0;
57;0.001179041314781104;0.18582481614075266;0.1916301074108886;0.1819628400759914;-1.4367564686695172E-4;1.0;
58;0.001865370332849198;0.05988611298802739;0.06202187863484921;0.17644267408703007;0.0010588777851123312;1.0;
59;0.0023762224463819057;0.08124361151640494;0.08424558855351028;0.26469856366828165;2.5321543509217024E-4;1.0;
60;0.0037743862420464317;0.10278350104889816;0.10813976873017606;0.20088890441411827;0.03550906325380981;1.0;
61;0.0014950431455289762;0.04358229085223992;0.046365218248245535;0.04131980925910147;0.07209854844419758;1.0;
62;8.520103326115226E-4;0.08123361982635029;0.0866245746839789;0.12609910907862773;0.08623842487803321;1.0;
63;0.00396054304876385;0.13664184312825614;0.14588769763424767;0.4010251631624943;0.035283135100555106;1.0;
64;0.0024434897781097087;0.0808122899688974;0.08492584853091939;0.09309259251324963;0.07417393892741503;1.0;
65;6.256298696577132E-4;0.1112751530299478;0.11842417097199393;0.23686469247484024;0.0861822334894889;1.0;
66;0.0022667001551730744;0.11876117184952019;0.12673704196745025;0.7736169309922074;0.026252156095222724;1.0;
67;0.0017269152284814556;0.1509291870339657;0.1585896760186099;0.3103005801996756;0.03877641902815075;1.0;
68;-2.44018189239502E-4;0.1316490858240843;0.13924768136722124;0.5226429899345783;0.046610939565483275;1.0;
