Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;
UV 1_280;;Conc B;;Run Log;;Fraction;;UV 1_280_CUT_TEMP@100,BASEM;;Cond;
ml;mAU;ml;%;ml;Logbook;ml;Fraction;ml;mAU;ml;mS/cm
0.861704;-13.515695;8.618502;1.702351;;;;;0.861704;-13.577179;1.723481;7.907365
0.869989;-13.506162;8.701372;1.718834;;;;;0.869989;-13.577179;1.740053;8.218189
0.878275;-13.496487;8.784242;1.735314;;;;;0.878275;-13.577179;1.756625;8.537621
0.886561;-13.485805;8.867112;jan.18;;;;;0.886561;-13.577179;1.773197;8.866315
0.894846;-13.473683;8.949983;1.768293;;;;;0.894846;-13.577179;1.789769;9.202687
0.903132;-13.460422;9.032852;1.784776;;;;;0.903132;-13.577179;1.806341;9.545479
0.911417;-13.44504;9.115723;1.801256;;;;;0.911417;-13.577179;1.822913;9.895543
0.919703;-13.428418;9.198593;1.817746;;;;;0.919703;-13.577179;1.839485;10.253435
0.927989;-13.410643;9.281464;1.83423;;;;;0.927989;-13.577179;1.856057;10.616465
0.936274;-13.391755;9.364333;1.85072;;;;;0.936274;-13.577179;1.872628;10.985341
0.94456;-13.369861;9.447204;1.867199;;;;;0.94456;-13.577179;jan.92;11.360913
0.952846;-13.345477;9.530074;1.883685;;;;;0.952846;-13.577179;1.905772;11.741746
0.961131;-13.317983;9.612944;1.900178;;;;;0.961131;-13.577179;1.922344;12.128603
0.969417;-13.289208;9.695814;1.91666;;;;;0.969417;-13.577179;1.938916;12.523005
0.977702;-13.259233;9.778685;1.933135;;;;;0.977702;-13.577179;1.955488;des.23
0.985988;-13.225919;9.861555;1.949633;;;;;0.985988;-13.577179;1.97206;13.326226
0.994274;-13.188415;9.944425;1.966133;;;;;0.994274;-13.577179;1.988632;13.733846
1.002559;-13.146335;10.027295;1.982605;;;;;1.002559;-13.577179;2.005204;14.141874
1.010845;-13.100334;10.110166;1.999093;;;;;1.010845;-13.577179;2.021776;14.552279
1.01913;-13.050037;10.193035;2.015569;;;;;1.01913;-13.577179;2.038348;14.968882
1.027416;-12.996334;10.275906;2.032058;;;;;1.027416;-13.577179;2.05492;15.390556
1.035702;-12.938745;10.358776;2.048549;;;;;1.035702;-13.577179;2.071492;15.814516
1.043987;-12.877594;10.441647;2.065032;;;;;1.043987;-13.577179;2.088064;16.238754
1.052273;-12.809958;10.524516;2.081512;;;;;1.052273;-13.577179;2.104635;16.662872
1.060559;-12.73713;10.607387;2.098;;;;;1.060559;-13.577179;2.121207;17.08507
1.068844;-12.65779;10.690257;2.114494;;;;;1.068844;-13.577179;2.137779;17.506115
1.07713;-12.570184;10.773127;2.130974;;;;;1.07713;-13.577179;2.154351;17.92939
1.085415;-12.476861;10.855997;2.147454;;;;;1.085415;-13.577179;2.170923;18.353079
1.093701;-12.378775;10.938868;2.163944;;;;;1.093701;-13.577179;2.187495;18.775171
1.101987;-12.27143;11.021738;2.18043;;;;;1.101987;-13.577179;2.204067;19.194557
1.110272;-12.155922;11.104608;2.196917;;;;;1.110272;-13.577179;2.220639;19.610506
1.118558;-12.031872;11.187478;2.213395;;;;;1.118558;-13.577179;2.237211;20.023912
1.126843;-11.897384;11.270349;2.22988;;;;;1.126843;-13.577179;2.253783;20.439148
1.135129;-11.751252;11.353218;2.246376;;;;;1.135129;-13.577179;2.270355;20.853407
1.143415;-11.593035;11.436089;2.26286;;;;;1.143415;-13.577179;2.286927;21.264257
1.1517;-11.424688;11.518959;2.279336;;;;;1.1517;-13.577179;2.303499;21.670244
1.159986;-11.244004;11.60183;2.295821;;;;;1.159986;-13.577179;2.320071;22.071974
1.168272;-11.046431;11.684699;2.31232;;;;;1.168272;-13.577179;2.336643;22.468292
1.176557;-10.833823;11.76757;2.328805;;;;;1.176557;-13.577179;2.353215;22.859871
1.184843;-10.604374;11.85044;2.345291;;;;;1.184843;-13.577179;2.369787;23.249504
1.193128;-10.359552;11.93331;2.361764;;;;;1.193128;-13.577179;2.386358;23.633202
1.201414;-10.098302;12.01618;2.378264;;;;;1.201414;-13.577179;2.40293;24.009863
jan.97;-9.817955;12.099051;2.394742;;;;;jan.97;-13.577179;2.419502;24.379135
1.217985;-9.518622;12.181921;2.411223;;;;;1.217985;-13.577179;2.436074;24.738102
1.226271;-9.195834;12.264791;2.427704;;;;;1.226271;-13.577179;2.452646;25.088774
