Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;;;;;;
UV 1_280;;Conc B;;Injection;;Run Log;;Fraction;;UV 1_280_CUT_TEMP@100,BASEM;;Cond;;;;;;;
ml;mAU;ml;%;ml;Injection;ml;Logbook;ml;Fraction;ml;mAU;ml;mS/cm;;;;;;
-24.382811;1.339542;-21.104269;0;;;;;;;0.819521;0.100158;-24.382811;0.032204;;;;;;
-24.370758;1.37031;-21.044003;0;;;;;;;0.831573;0.100934;-24.370758;0.03223;;;;;;
-24.358706;1.403264;-20.983738;0;;;;;;;0.843626;0.10171;-24.358706;0.032212;;;;;;
-24.346655;1.44291;-20.923471;0;;;;;;;0.855677;0.102408;-24.346655;0.032205;;;;;;
-24.334602;1.480578;-20.863207;0;;;;;;;0.867729;0.103106;-24.334602;0.032209;;;;;;
-24.322552;1.524755;-20.80294;0;;;;;;;0.87978;0.103805;-24.322552;0.032257;;;;;;
-24.310499;1.570686;-20.742676;0;;;;;;;0.891832;0.104503;-24.310499;0.03229;;;;;;
-24.298447;1.619422;-20.682409;0;;;;;;;0.903885;0.105201;-24.298447;0.032265;;;;;;
-24.286396;1.675353;-20.622143;0;;;;;;;0.915936;0.105899;-24.286396;0.032252;;;;;;
-24.274343;1.731314;-20.561878;0;;;;;;;0.927988;0.106597;-24.274343;0.03224;;;;;;
-24.262291;1.795691;-20.501614;0;;;;;;;0.940041;0.107295;-24.262291;0.032241;;;;;;
-24.25024;1.865924;-20.441347;0;;;;;;;0.952091;0.107993;-24.25024;0.032291;;;;;;
-24.238188;1.94191;-20.381081;0;;;;;;;0.964144;0.108691;-24.238188;0.032336;;;;;;
-24.226137;2.024671;-20.320816;0;;;;;;;0.976194;0.109437;-24.226137;0.032358;;;;;;
-24.214085;2.11204;-20.26055;0;;;;;;;0.988247;0.110182;-24.214085;0.03235;;;;;;
-24.202032;2.210092;-20.200285;0;;;;;;;1.000299;0.110928;-24.202032;0.032339;;;;;;
-24.189981;2.315753;-20.140018;0;;;;;;;1.01235;0.111673;-24.189981;0.032365;;;;;;
-24.177929;2.432668;-20.079754;0;;;;;;;1.024403;0.112418;-24.177929;0.032382;;;;;;
-24.165878;2.56054;-20.019487;0;;;;;;;1.036453;0.113164;-24.165878;0.032397;;;;;;
-24.153826;2.696654;-19.959221;0;;;;;;;1.048506;0.113909;-24.153826;0.032425;;;;;;
-24.141773;2.834603;-19.898956;0;;;;;;;1.060558;0.114655;-24.141773;0.032443;;;;;;
-24.129723;2.983414;-19.838692;0;;;;;;;1.072609;0.1154;-24.129723;0.032452;;;;;;
-24.11767;3.14165;-19.778425;0;;;;;;;1.084661;0.116145;-24.11767;0.032476;;;;;;
-24.105619;3.309474;-19.718159;0;;;;;;;1.096712;0.116774;-24.105619;0.032485;;;;;;
-24.093567;3.489665;-19.657894;0;;;;;;;1.108765;0.117402;-24.093567;0.032492;;;;;;
