Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;;Chrom.1;
UV 1_280;;Conc B;;Cond;;Injection;;Run Log;;Fraction;;UV 1_280_CUT_TEMP@100,BASEM;;% Cond;
ml;mAU;ml;%;ml;mS/cm;ml;Injection;ml;Logbook;ml;Fraction;ml;mAU;ml;%
-23.54389;0.579145;-8.437893;0;-21.865562;0.320015;;;;;;;1.678328;0.087765;-8.437893;2.292016
-23.535702;0.597595;-8.356018;0;-21.849188;0.33104;;;;;;;1.686514;0.08788;-8.356018;2.292004
-23.527515;0.614465;-8.274145;0;-21.832815;0.342508;;;;;;;1.694702;0.087507;-8.274145;2.291959
-23.519329;0.630174;-8.19227;0;-21.816441;0.354389;;;;;;;1.702888;0.088117;-8.19227;2.291868
-23.511143;0.645178;-8.110395;0;-21.800068;0.3651;;;;;;;1.711075;0.088595;-8.110395;2.291814
-23.502954;0.657054;-8.028521;0;-21.783693;0.376509;;;;;;;1.719263;0.088446;-8.028521;2.291831
-23.494768;0.666511;-7.946646;0;-21.767319;0.389181;;;;;;;1.727449;0.087949;-7.946646;2.291898
-23.486582;0.674468;-7.864771;0;-21.750946;0.402535;;;;;;;1.735636;0.089343;-7.864771;2.291978
-23.478394;0.679865;-7.782896;0;-21.734571;0.415565;;;;;;;1.743824;0.089735;-7.782896;2.291968
-23.470207;0.684009;-7.701021;0;-21.718197;0.430148;;;;;;;1.75201;0.090622;-7.701021;2.291962
-23.462021;0.687864;-7.619146;0;-21.701824;0.445894;;;;;;;1.760197;0.090774;-7.619146;2.291938
-23.453833;0.689109;-7.537271;0;-21.68545;0.461926;;;;;;;1.768385;0.091994;-7.537271;2.291859
-23.445646;0.689974;-7.455397;0;-21.669075;0.478139;;;;;;;1.776571;0.091987;-7.455397;2.291768
-23.43746;0.690105;-7.373522;0;-21.652702;0.494478;;;;;;;1.784758;0.092654;-7.373522;2.291705
-23.429272;0.687964;-7.291647;0;-21.636328;0.511896;;;;;;;1.792946;0.093052;-7.291647;2.291737
-23.421085;0.686127;-7.209772;0;-21.619953;0.530404;;;;;;;1.801132;0.092586;-7.209772;2.291708
-23.412899;0.684563;-7.127897;0;-21.60358;0.549001;;;;;;;1.809319;0.092496;-7.127897;2.291624
-23.404711;0.682548;-7.046022;0;-21.587206;0.567997;;;;;;;1.817507;0.092773;-7.046022;2.291485
-23.396524;0.679926;-6.964148;0;-21.570831;0.587578;;;;;;;1.825693;0.092692;-6.964148;2.291301
-23.388338;0.67736;-6.882273;0;-21.554459;0.607852;;;;;;;1.833879;0.091935;-6.882273;2.291204
-23.38015;0.673728;-6.800398;0;-21.538084;0.628768;;;;;;;1.842068;0.091276;-6.800398;2.291163
