# Result of 'intser'
# Date/time = Tue Apr 23 15:43:49 CEST 2024
# Data set list (full path) = C:\Users\Bruker\AppData\Local\Temp\topspin-dataset-list-5940593709117529472.txt
# Region to calibrate = 0
# Value of region to calibrate = 1.0
# Global scaling = yes

# --- Integral info --- 
# A 1.0 #regions in PPM
# # low field   high field  bias        slope
#   8.1836689640786  8.128402428843064  -0.0  -0.0  # for region 1
#   8.015566586070513  7.976803252328922  -0.0  -0.0  # for region 2
#   7.952240347779795  7.910790446353143  -0.0  -0.0  # for region 3
#   0.13617261910248943  -0.030407478052012202  -0.0  -0.0  # for region 4

# Spectrum#; Integral 0; Integral 1; Integral 2; Integral 3;
156;-66.48361964506601;-75.48285916239618;-200.7492900058062;-139.34297452856387;
157;-67.07471347789867;-76.1485528740565;-203.19469618559566;-141.13699732411078;
158;-67.24159682427486;-76.6518440915861;-206.6287361472244;-138.9710606366597;
159;-68.74263814909247;-77.67428937470022;-210.18477204453086;-141.89531530053267;
160;-67.85642655188954;-77.30485572917982;-209.50495102617828;-141.51176065937952;
161;-68.540053139121;-77.98774076691996;-211.76008507308208;-141.69900032817512;
162;-68.2319945472446;-77.43160073713176;-212.22591068588596;-140.1725254335698;
163;-69.12514515436852;-77.78752240426124;-213.64508179133114;-141.54732032413602;
164;-69.0584719662737;-78.20212745815768;-216.37817446292885;-142.51758892282837;
165;-68.57581475778154;-77.84296506197461;-216.89957842122536;-139.36586158584305;
166;-69.18855868023124;-77.96281523742206;-217.59380443288822;-141.8387145634009;
167;-67.87216317875445;-77.52597000984525;-217.4206826041956;-139.3406457476081;
168;-69.78932736727842;-79.06819099790474;-222.86556812157627;-142.56515853381467;
169;-69.33727248630501;-78.20050551586601;-222.4848282129604;-140.77146706889152;
170;-69.8923459470376;-79.2382140963825;-226.23106366596826;-141.47023704339486;
171;-70.00894908237196;-78.85204983212583;-227.03799888925354;-141.18515701916039;
172;-69.76365397722971;-78.79494736576378;-227.3258999570848;-141.05583394340243;
173;-69.4730486204024;-79.35133668240225;-230.08162093252216;-140.8097120894656;
174;-70.15244364223867;-79.64591169565547;-232.45965970767173;-141.48137606341353;
175;-70.57911544190038;-80.10965781435388;-233.3348017065105;-141.56347032539824;
176;-70.63129528185192;-79.90673516269912;-235.72036326458488;-142.09542321965012;
177;-69.00191540655845;-78.8696829323707;-233.58325549693285;-138.61065811728474;
178;-71.44002284603539;-80.57290220382198;-239.4751722919244;-142.483177870901;
179;-70.07137177189307;-79.591898492919;-236.94094426072252;-140.51058049125288;
180;-70.49573372377755;-80.3579412061697;-242.66008949082374;-139.8164586120718;
181;-70.4918366445359;-80.09267159770783;-240.13620528614345;-139.91334284199633;
182;-71.56895779163406;-81.4296411531568;-245.5715863479161;-141.4863270895918;
183;-71.76724497008559;-81.85512331810264;-249.2270656097746;-140.11916542549164;
184;-72.12458978113246;-81.06524057758817;-249.04435097064098;-142.2301012293944;
185;-72.03161209703886;-80.91289160124202;-249.60854706788177;-141.200240451367;
186;-71.97771249337339;-81.32875571150885;-252.796954282685;-140.81154860778028;
187;-73.08637000479641;-82.14900727034055;-257.375151465428;-142.15925327543988;
188;-72.84115694342766;-82.02549352485296;-257.36894138287937;-141.82855691313458;
189;-72.83940877994598;-82.6409480473582;-260.2770902229066;-141.32940890616717;
190;-70.84373816676344;-80.75569573119935;-255.68235175321234;-138.06197460429658;
191;-72.37175927094641;-82.14732537298362;-261.8834315754929;-139.2654526291874;
192;-73.0041621437407;-82.6674103198445;-264.230864867594;-141.75768055941234;
193;-73.64113422361346;-82.38521760533159;-267.7777497286245;-141.94585110948427;
194;-72.19471511877414;-81.2630828263449;-267.70319718274305;-138.33123911342236;
195;-73.36239996970691;-82.75973165375004;-271.8535834195845;-140.91597770933785;
